"Date","Price","Open","High","Low","Change %"
"Nov 14, 2017","22.6138","22.3204","22.6302","22.2818","1.33%"
"Nov 13, 2017","22.3175","22.2852","22.3824","22.2284","0.10%"
"Nov 10, 2017","22.2948","22.1657","22.3206","22.1388","0.59%"
"Nov 09, 2017","22.1649","22.1349","22.2630","22.1001","0.13%"
"Nov 08, 2017","22.1358","22.1905","22.2253","22.0766","-0.26%"
"Nov 07, 2017","22.1943","22.0873","22.2635","22.0197","0.49%"
"Nov 06, 2017","22.0863","22.2910","22.3140","22.0685","-0.92%"
"Nov 03, 2017","22.2922","22.1440","22.3533","22.1114","0.72%"
"Nov 02, 2017","22.1326","22.1516","22.2590","22.0406","-0.10%"
"Nov 01, 2017","22.1551","22.3044","22.3756","22.1452","-0.65%"
"Oct 31, 2017","22.3010","22.4061","22.4349","22.2489","-0.52%"
"Oct 30, 2017","22.4171","22.2135","22.4668","22.1592","0.91%"
"Oct 27, 2017","22.2157","22.3784","22.4287","22.1358","-0.72%"
"Oct 26, 2017","22.3759","22.4831","22.6003","22.2718","-0.52%"
"Oct 25, 2017","22.4926","22.6182","22.7084","22.3867","-0.56%"
"Oct 24, 2017","22.6194","22.4166","22.6518","22.3829","0.91%"
"Oct 23, 2017","22.4159","22.3433","22.4610","22.2688","0.16%"
"Oct 20, 2017","22.3801","22.2937","22.4730","22.2431","0.40%"
"Oct 19, 2017","22.2913","22.2328","22.3482","22.1830","0.26%"
"Oct 18, 2017","22.2336","22.0831","22.2913","22.0077","0.67%"
"Oct 17, 2017","22.0860","22.4520","22.4978","22.0319","-1.64%"
"Oct 16, 2017","22.4547","22.3692","22.6028","22.3331","0.41%"
"Oct 13, 2017","22.3632","22.3754","22.4959","22.3190","-0.02%"
"Oct 12, 2017","22.3685","22.1868","22.3851","22.1487","0.82%"
"Oct 11, 2017","22.1876","22.2375","22.2796","22.1498","-0.20%"
"Oct 10, 2017","22.2310","21.9222","22.2803","21.8754","1.40%"
"Oct 09, 2017","21.9230","21.7573","21.9866","21.7370","0.70%"
"Oct 06, 2017","21.7705","21.6571","21.8228","21.5981","0.52%"
"Oct 05, 2017","21.6589","21.4861","21.6650","21.3723","0.81%"
"Oct 04, 2017","21.4841","21.3985","21.5026","21.3445","0.42%"
"Oct 03, 2017","21.3941","21.3891","21.5221","21.3527","0.01%"
"Oct 02, 2017","21.3909","21.5735","21.5735","21.3680","-0.81%"
"Sep 29, 2017","21.5664","21.4063","21.5846","21.3657","0.75%"
"Sep 28, 2017","21.4063","21.3929","21.5092","21.3740","0.09%"
"Sep 27, 2017","21.3864","21.1708","21.3957","21.1318","0.99%"
"Sep 26, 2017","21.1761","21.2487","21.2607","21.1441","-0.31%"
"Sep 25, 2017","21.2429","21.2100","21.2708","21.1085","0.18%"
"Sep 22, 2017","21.2053","21.3558","21.4090","21.1714","-0.70%"
"Sep 21, 2017","21.3546","21.1270","21.3881","21.1150","1.06%"
"Sep 20, 2017","21.1305","21.3475","21.4141","21.1162","-1.02%"
"Sep 19, 2017","21.3487","21.2399","21.4164","21.2125","0.53%"
"Sep 18, 2017","21.2357","21.1061","21.2723","21.0239","0.67%"
"Sep 15, 2017","21.0937","21.0550","21.2125","21.0224","0.18%"
"Sep 14, 2017","21.0562","21.0934","21.1844","20.9947","-0.20%"
"Sep 13, 2017","21.0977","21.2202","21.3252","21.0665","-0.56%"
"Sep 12, 2017","21.2167","21.1141","21.3130","21.1105","0.47%"
"Sep 11, 2017","21.1180","21.3215","21.3215","21.0921","-0.92%"
"Sep 08, 2017","21.3140","21.2507","21.4119","21.2205","0.31%"
"Sep 07, 2017","21.2477","21.2004","21.3500","21.1454","0.22%"
"Sep 06, 2017","21.2021","21.3281","21.4056","21.1504","-0.59%"
"Sep 05, 2017","21.3272","21.2582","21.3978","21.1338","0.31%"
"Sep 04, 2017","21.2617","21.1339","21.3487","21.1251","0.63%"
"Sep 01, 2017","21.1280","21.3076","21.3463","21.0954","-0.82%"
"Aug 31, 2017","21.3035","21.0509","21.3104","21.0425","1.19%"
"Aug 30, 2017","21.0525","21.3580","21.4313","21.0462","-1.43%"
"Aug 29, 2017","21.3590","21.4169","21.5890","21.3449","-0.25%"
"Aug 28, 2017","21.4124","21.0053","21.4231","21.0047","1.94%"
"Aug 25, 2017","21.0053","20.9155","21.0265","20.8317","0.42%"
"Aug 24, 2017","20.9172","20.8865","20.9615","20.8119","0.16%"
"Aug 23, 2017","20.8839","20.7691","21.0574","20.7526","0.54%"
"Aug 22, 2017","20.7719","20.8596","20.8753","20.7095","-0.42%"
"Aug 21, 2017","20.8596","20.8350","20.8913","20.7672","0.14%"
"Aug 18, 2017","20.8314","20.9227","21.0919","20.7870","-0.44%"
"Aug 17, 2017","20.9244","20.7895","20.9764","20.6751","0.67%"
"Aug 16, 2017","20.7859","20.8935","20.9288","20.7125","-0.53%"
"Aug 15, 2017","20.8959","20.9390","21.0051","20.8558","-0.19%"
"Aug 14, 2017","20.9354","21.0377","21.0910","20.9030","-0.65%"
"Aug 11, 2017","21.0730","21.1480","21.2306","21.0148","-0.40%"
"Aug 10, 2017","21.1575","21.0962","21.1925","20.9704","0.25%"
"Aug 09, 2017","21.1057","20.9655","21.1857","20.9491","0.59%"
"Aug 08, 2017","20.9822","21.1366","21.2292","20.9547","-0.77%"
"Aug 07, 2017","21.1459","21.0317","21.2387","21.0220","0.42%"
"Aug 04, 2017","21.0572","21.1707","21.2440","20.9664","-0.59%"
"Aug 03, 2017","21.1820","21.1132","21.2763","21.0734","0.27%"
"Aug 02, 2017","21.1248","21.1043","21.2720","21.0813","0.06%"
"Aug 01, 2017","21.1129","21.0654","21.1168","20.9539","0.15%"
"Jul 31, 2017","21.0803","20.8566","21.1569","20.8078","0.88%"
"Jul 28, 2017","20.8956","20.6848","20.9655","20.6763","0.96%"
"Jul 27, 2017","20.6967","20.6319","20.7526","20.5505","0.27%"
"Jul 26, 2017","20.6401","20.7008","20.7171","20.5878","-0.36%"
"Jul 25, 2017","20.7146","20.6280","20.7569","20.6099","0.36%"
"Jul 24, 2017","20.6412","20.5799","20.7163","20.4876","0.22%"
"Jul 21, 2017","20.5966","20.3287","20.6059","20.3106","1.28%"
"Jul 20, 2017","20.3371","20.1903","20.4419","20.1641","0.64%"
"Jul 19, 2017","20.2068","20.1899","20.2505","20.1109","0.05%"
"Jul 18, 2017","20.1966","20.1800","20.3285","20.1523","0.05%"
"Jul 17, 2017","20.1872","20.1250","20.2203","20.0843","0.22%"
"Jul 14, 2017","20.1430","20.1448","20.2308","20.0462","-0.04%"
"Jul 13, 2017","20.1502","20.2752","20.3612","20.1288","-0.69%"
"Jul 12, 2017","20.2908","20.5246","20.5739","20.2577","-1.19%"
"Jul 11, 2017","20.5358","20.4596","20.6106","20.3796","0.33%"
"Jul 10, 2017","20.4685","20.6020","20.6285","20.4050","-0.74%"
"Jul 07, 2017","20.6215","20.8486","20.9169","20.5873","-1.14%"
"Jul 06, 2017","20.8590","20.7708","20.9705","20.6679","0.39%"
